name,full_name,tally,panel,ensembl,location,uniprot,tags,OMIM,panels,panel_names,disease_group,disease_sub_group,mode_of_inheritance,confidence_level,len,pLI,pRec,pNull,%modelled
ESR2,estrogen receptor 2,2,,ENSG00000140009,(build: 38)14:64084232-64338112,Q92731,,601663,126|394,Familial Meniere Disease|Hearing loss,Hearing and ear disorders,Non-syndromic hearing loss|Other hearing and ear disorders,NA,1,530,5.15E-08,0.391979443,0.608020505,0.518867925
ICAM1,intercellular adhesion molecule 1,1,,ENSG00000090339,(build: 38)19:10270835-10286615,P05362,,147840,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,532,0.117797321,0.876577826,0.005624853,0.843984962
AQP6,aquaporin 6,1,,ENSG00000086159,(build: 38)12:49967194-49977139,Q13520,,601383,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,282,0.211427985,0.748233671,0.040338344,0.996453901
IL2,interleukin 2,1,,ENSG00000109471,(build: 38)4:122451470-122456725,P60568,,147680,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,153,0.784777637,0.208550475,0.006671888,0.947712418
VCAM1,vascular cell adhesion molecule 1,1,,ENSG00000162692,(build: 38)1:100719742-100739045,P19320,,192225,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,739,0.781503144,0.218434609,6.22E-05,0.271989175
NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,14,,ENSG00000158864,(build: 38)1:161197104-161214395,O75306,,602985,112|285|394|402|42|469|471|476|534|539,Cardiomyopathies - including childhood onset|Familial Meniere Disease|Genetic epilepsy syndromes|Inherited white matter disorders|Intellectual disability|Mitochondrial disorder with complex I deficiency|Mitochondrial disorders|Molecular autopsy|Possible mitochondrial disorder - nuclear genes|White matter disorders and cerebral calcification - narrow panel,Hearing and ear disorders|Metabolic disorders|NA|Neurology and neurodevelopmental disorders,Inherited Epilepsy Syndromes|Mitochondrial|NA|Neurodevelopmental disorders|Other hearing and ear disorders|White matter disorders,Biallelic|NA,1|2|3|4,463,0.997735395,0.002264602,3.18E-09,0.926565875
HLA-DRB5,"major histocompatibility complex, class II, DR beta 5",1,,ENSG00000198502,(build: 38)6:32517343-32530287,Q30154,,604776,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,266,0.003227266,0.824923015,0.171849719,0.718045113
IL1B,interleukin 1 beta,1,,ENSG00000125538,(build: 38)2:112829751-112836903,P01584,,147720,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,269,0.925868312,0.074046215,8.55E-05,0.565055762
DPT,dermatopontin,1,,ENSG00000143196,(build: 38)1:168695459-168729264,Q07507,watchlist,125597,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,Monoallelic,2,201,9.11E-05,0.553372302,0.446536647,0
NPR3,natriuretic peptide receptor 3,2,,ENSG00000113389,(build: 38)5:32689070-32791724,P17342,,108962,285|394,Familial Meniere Disease|Intellectual disability,Hearing and ear disorders|Neurology and neurodevelopmental disorders,Neurodevelopmental disorders|Other hearing and ear disorders,NA,1,541,0.003099263,0.985402925,0.011497812,0.894639556
NOTCH3,notch 3,7,,ENSG00000074181,(build: 38)19:15159038-15200981,Q9UM47,,600276,243|265|394|474|476|484|50,DDG2P|Early onset dementia (encompassing fronto-temporal dementia and prion disease)|Familial Meniere Disease|Familial cerebral small vessel disease|Neurodegenerative disorders - adult onset|Tumour predisposition - childhood onset|White matter disorders and cerebral calcification - narrow panel,Cardiovascular disorders|Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders|Tumour syndromes,Arteriopathies|Childhood Tumours|NA|Neurodegenerative disorders|Other hearing and ear disorders,Monoallelic|NA|Unknown,1|3|4,2321,0.207712385,0.792287614,1.11E-09,0.112882378
NOS2,nitric oxide synthase 2,1,,ENSG00000007171,(build: 38)17:27756766-27800499,P60321,,163730,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,,,,,0
IL6,interleukin 6,3,,ENSG00000136244,(build: 38)7:22725884-22732002,P05231,,147620,33|394|45,Familial Meniere Disease|Gastrointestinal epithelial barrier disorders|Sudden death in young people,Cardiovascular disorders|Gastroenterological disorders|Hearing and ear disorders,Cardiac arrhythmia|Gastrointestinal disorders|Other hearing and ear disorders,NA|Unknown,0|1,212,0.289669117,0.689311733,0.02101915,0.867924528
MTNR1B,melatonin receptor 1B,2,,ENSG00000134640,(build: 38)11:92969720-92985066,P49286,,600804,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,362,0.00870273,0.801025518,0.190271752,0
MICA,MHC class I polypeptide-related sequence A,1,,ENSG00000204520,(build: 38)6:31399784-31415315,Q29983,,600169,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,383,0.00037802,0.621049073,0.378572908,0.712793734
TLR8,toll like receptor 8,3,,ENSG00000101916,(build: 38)X:12906620-12923169,Q9NR97,,300366,285|394,Familial Meniere Disease|Intellectual disability,Hearing and ear disorders|Neurology and neurodevelopmental disorders,Neurodevelopmental disorders|Other hearing and ear disorders,NA|X-Linked,1,1041,0.931026133,0.068902711,7.12E-05,0.768491835
LTF,lactotransferrin,2,,ENSG00000012223,(build: 38)3:46435645-46485234,P02788,,150210,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,710,1.76E-13,0.332110461,0.667889539,0.971830986
KCNQ4,potassium voltage-gated channel subfamily Q member 4,2,,ENSG00000117013,(build: 38)1:40784012-40840452,P56696,,603537,126|394,Familial Meniere Disease|Hearing loss,Hearing and ear disorders,Non-syndromic hearing loss|Other hearing and ear disorders,Both|NA,1|4,695,0.985178282,0.014821404,3.14E-07,0.145323741
KCNQ1,potassium voltage-gated channel subfamily Q member 1,13,,ENSG00000053918,(build: 38)11:2444684-2849109,P51787,,607542,126|224|285|394|468|469|471|478|483|484|49|76,Cardiac arrhythmias|Cardiomyopathies - including childhood onset|DDG2P|Familial Meniere Disease|Fetal anomalies|Hearing loss|Hypertrophic cardiomyopathy - teen and adult|Intellectual disability|Long QT syndrome|Molecular autopsy|Pituitary hormone deficiency|Short QT syndrome,Cardiovascular disorders|Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders,Cardiac arrhythmia|Cardiomyopathy|NA|Neurodevelopmental disorders|Non-syndromic hearing loss|Other hearing and ear disorders,Biallelic|Both|Monoallelic|NA|Unknown,1|2|3|4,676,2.45E-05,0.980167927,0.019807543,0.347633136
CD4,CD4 molecule,3,,ENSG00000010610,(build: 38)12:6786858-6820808,P01730,,186940,394|398,Familial Meniere Disease|Primary immunodeficiency,Hearing and ear disorders|NA,NA|Other hearing and ear disorders,NA,1,458,0.001506887,0.967524929,0.030968184,0.978165939
MARVELD2,MARVEL domain containing 2,2,,ENSG00000152939,(build: 38)5:69415112-69444330,Q8N4S9,,610572,126|394,Familial Meniere Disease|Hearing loss,Hearing and ear disorders,Non-syndromic hearing loss|Other hearing and ear disorders,Biallelic|Unknown,1|3,558,4.23E-11,0.096476953,0.903523047,0.200716846
DEFB1,defensin beta 1,2,,ENSG00000164825,(build: 38)8:6870575-6878022,P60022,,602056,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,68,5.07E-05,0.138224734,0.861724567,0.514705882
PARP1,poly(ADP-ribose) polymerase 1,4,,ENSG00000143799,(build: 38)1:226360691-226408079,P09874,,173870,285|394|484,DDG2P|Familial Meniere Disease|Intellectual disability,Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders,NA|Neurodevelopmental disorders|Other hearing and ear disorders,Biallelic|NA,1,1014,0.006996931,0.992996969,6.10E-06,0.934911243
TLR4,toll like receptor 4,2,,ENSG00000136869,(build: 38)9:117704332-117716871,O00206,,603030,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,839,4.18E-06,0.831605334,0.168390486,0.771156138
RELA,"RELA proto-oncogene, NF-kB subunit",2,,ENSG00000173039,(build: 38)11:65653596-65663094,Q04206,,164014,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,551,0.998828468,0.001171517,1.56E-08,0.598911071
TLR7,toll like receptor 7,2,,ENSG00000196664,(build: 38)X:12867083-12890380,Q9NYK1,,300365,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,1049,0.872917549,0.126738033,0.000344419,0
IFNG,interferon gamma,3,,ENSG00000111537,(build: 38)12:68154768-68159747,P01579,,147570,159|394,Cytopaenias and congenital anaemias|Familial Meniere Disease,Haematological disorders|Hearing and ear disorders,Anaemias and red cell disorders|Other hearing and ear disorders,NA|Unknown,1,166,0.020446566,0.904517047,0.075036388,0.825301205
HLA-B,"major histocompatibility complex, class I, B",4,,ENSG00000234745,(build: 38)6:31269491-31357188,P30488,,142830,147|394,Cerebral vascular malformations|Familial Meniere Disease,Hearing and ear disorders|Neurology and neurodevelopmental disorders,Cerebrovascular disorders|Other hearing and ear disorders,NA|Unknown,1,362,0.002664635,0.935189031,0.062146334,0
TLR10,toll like receptor 10,2,,ENSG00000174123,(build: 38)4:38772239-38782990,Q9BXR5,,606270,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,811,8.43E-08,0.488132744,0.511867172,0.189889026
HLA-C,"major histocompatibility complex, class I, C",3,,ENSG00000204525,(build: 38)6:31268749-31272130,Q29865,,142840,132|394,Familial Meniere Disease|Generalised pustular psoriasis,Dermatological disorders|Hearing and ear disorders,Autoimmune skin disorders|Other hearing and ear disorders,NA|Other,1,366,9.95E-10,0.087085151,0.912914848,0
SOD2,superoxide dismutase 2,2,,ENSG00000112096,(build: 38)6:159669057-159762529,P04179,,147460,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,222,0.237154646,0.730571963,0.03227339,0.891891892
KCNA4,potassium voltage-gated channel subfamily A member 4,1,,ENSG00000182255,(build: 38)11:30009741-30017023,P22459,,176266,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,653,0.946234021,0.053579798,0.00018618,0
TLR9,toll like receptor 9,2,,ENSG00000239732,(build: 38)3:52221080-52226163,Q9NR96,,605474,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,1032,0.000525226,0.970780863,0.028693911,0
IRF7,interferon regulatory factor 7,2,,ENSG00000185507,(build: 38)11:612553-615999,Q92985,,605047,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,503,3.31E-07,0.329152015,0.670847654,0.232604374
PTGS2,prostaglandin-endoperoxide synthase 2,1,,ENSG00000073756,(build: 38)1:186671791-186680427,P35354,,600262,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,604,0.999033116,0.000966874,9.75E-09,0.998344371
AQP1,aquaporin 1 (Colton blood group),4,,ENSG00000240583,(build: 38)7:30911694-30925516,P29972,,107776,193|394|65,Familial Meniere Disease|Primary lymphoedema|Pulmonary arterial hypertension,Cardiovascular disorders|Hearing and ear disorders,Lymphatic Disorders|Other hearing and ear disorders|Pulmonary heart disease,Monoallelic|NA|Unknown,1|2,269,0.049925638,0.859251576,0.090822786,0.996282528
HLA-A,"major histocompatibility complex, class I, A",2,,ENSG00000206503,(build: 38)6:29941260-29945884,Q09160,,142800,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,365,0.132779665,0.862664913,0.004555422,0
CD276,CD276 molecule,2,,ENSG00000103855,(build: 38)15:73683966-73714518,Q5ZPR3,,605715,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,534,2.02E-05,0.709451017,0.290528763,0
REL,"REL proto-oncogene, NF-kB subunit",1,,ENSG00000162924,(build: 38)2:60881521-60931610,Q04864,,164910,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,619,0.969516333,0.030481804,1.86E-06,0
ADD2,adducin 2,1,,ENSG00000075340,(build: 38)2:70607618-70768225,P35612,,102681,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,726,0.999175207,0.000824793,2.71E-10,0
ADD3,adducin 3,1,,ENSG00000148700,(build: 38)10:109996368-110135565,Q9UEY8,,601568,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,706,0.952357437,0.047642331,2.32E-07,0
HLA-DRB1,"major histocompatibility complex, class II, DR beta 1",2,,ENSG00000196126,(build: 38)6:32578769-32589848,Q9GIY3,,142857,105|394,Familial Meniere Disease|Pneumothorax - familial,Hearing and ear disorders|Respiratory disorders,Other hearing and ear disorders|Structural lung disorders,NA,1,266,5.62E-05,0.690484033,0.309459732,0
TLR3,toll like receptor 3,2,,ENSG00000164342,(build: 38)4:186069152-186088069,O15455,,603029,394|398,Familial Meniere Disease|Primary immunodeficiency,Hearing and ear disorders|NA,NA|Other hearing and ear disorders,Both|NA,1|4,904,0.001211245,0.989727361,0.009061394,0.783185841
FAM136A,family with sequence similarity 136 member A,1,,ENSG00000035141,(build: 38)2:70295975-70302090,Q96C01,multifactorial|watchlist,616275,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,Monoallelic,2,138,0.001478617,0.43879152,0.559729863,0
IL1R1,interleukin 1 receptor type 1,1,,ENSG00000115594,(build: 38)2:102064544-102179874,P14778,,147810,394,Familial Meniere Disease,Hearing and ear disorders,Other hearing and ear disorders,NA,1,0,-1,-1,-1,0.55887522
UGT1A1,UDP glucuronosyltransferase family 1 member A1,9,,ENSG00000241635,(build: 38)2:233760248-233773299,P22309,,191740,26|285|385|412|469|471|478|484|544,Cardiomyopathies - including childhood onset|Cholestasis|DDG2P|Diabetes with additional phenotypes suggestive of a monogenic aetiology|Fetal anomalies|Gene therapy clinical trials|Intellectual disability|Molecular autopsy|Neonatal cholestasis,Actionable information|Endocrine disorders|Gastroenterological disorders|NA|Neurology and neurodevelopmental disorders,Clinical trials|Disorders of unusual phenotypes|Liver disease|NA|Neurodevelopmental disorders,Biallelic|Monoallelic|NA,0|2|3|4,533,2.94E-09,0.085606144,0.914393853,0
OTC,ornithine carbamoyltransferase,6,,ENSG00000036473,(build: 38)X:38352545-38421450,P00480,,300461,285|412|469|471|478|484,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Gene therapy clinical trials|Intellectual disability|Molecular autopsy,Actionable information|NA|Neurology and neurodevelopmental disorders,Clinical trials|NA|Neurodevelopmental disorders,NA|X-Linked,3|4,354,0.9810179,0.01896801,1.41E-05,0.903954802
IL2RG,interleukin 2 receptor subunit gamma,3,,ENSG00000147168,(build: 38)X:71107404-71112108,P31785,,308380,33|412,Gastrointestinal epithelial barrier disorders|Gene therapy clinical trials,Actionable information|Gastroenterological disorders,Clinical trials|Gastrointestinal disorders,NA|X-Linked,3|4,369,0.957764471,0.042133635,0.000101894,0.647696477
SMN1,"survival of motor neuron 1, telomeric",2,,ENSG00000172062,(build: 38)5:70925030-70953942,Error,,600354,412|478,Fetal anomalies|Gene therapy clinical trials,Actionable information|NA,Clinical trials|NA,Biallelic|NA,4,0,-1,-1,-1,0
DMD,dystrophin,12,,ENSG00000198947,(build: 38)X:31097677-33339441,P11532,,300377,126|185|235|285|412|469|47|471|478|484|61|66,Cardiomyopathies - including childhood onset|DDG2P|Dilated cardiomyopathy - teen and adult|Distal myopathies|Fetal anomalies|Gastrointestinal neuromuscular disorders|Gene therapy clinical trials|Hearing loss|Intellectual disability|Limb girdle muscular dystrophy|Molecular autopsy|Rhabdomyolysis and metabolic muscle disorders,Actionable information|Cardiovascular disorders|Gastroenterological disorders|Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders,Cardiomyopathy|Clinical trials|Gastrointestinal disorders|NA|Neurodevelopmental disorders|Neuromuscular disorders|Non-syndromic hearing loss,NA|X-Linked,0|1|3|4,3685,1,1.96E-10,2.29E-33,0.169063772
ADA,adenosine deaminase,7,,ENSG00000196839,(build: 38)20:44619522-44652233,P00813,,608958,285|33|412|469|471|478|484,Cardiomyopathies - including childhood onset|DDG2P|Fetal anomalies|Gastrointestinal epithelial barrier disorders|Gene therapy clinical trials|Intellectual disability|Molecular autopsy,Actionable information|Gastroenterological disorders|NA|Neurology and neurodevelopmental disorders,Clinical trials|Gastrointestinal disorders|NA|Neurodevelopmental disorders,Biallelic|NA,2|4,363,2.83E-09,0.156267776,0.843732221,0.997245179
F9,coagulation factor IX,3,,ENSG00000101981,(build: 38)X:139530758-139563458,P00740,,300746,175|412|545,Bleeding and platelet disorders|Gene therapy clinical trials|Inherited bleeding disorders,Actionable information|Haematological and immunological disorders|NA,Clinical trials|Haemostasis disorders|NA,NA|X-Linked,3|4,461,0.989580625,0.010416143,3.23E-06,0.813449024
MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,13,,ENSG00000198886,(build: 38)MT:10760-12137,P03905,,516003,112|186|285|302|412|469|471,Cardiomyopathies - including childhood onset|Gene therapy clinical trials|Intellectual disability|Mitochondrial disorders|Molecular autopsy|Optic neuropathy|Undiagnosed metabolic disorders,Actionable information|Metabolic disorders|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders,Clinical trials|Mitochondrial|NA|Neurodevelopmental disorders|Posterior segment abnormalities|Specific metabolic abnormalities,Mitochondrial|NA,1|3|4,459,-1,-1,-1,0.997821351
SMN2,"survival of motor neuron 2, centromeric",1,,ENSG00000205571,(build: 38)5:70049612-70078522,Q16637,,601627,412,Gene therapy clinical trials,Actionable information,Clinical trials,NA,4,294,0.095255983,0.574984066,0.329759951,0.523809524
F8,coagulation factor VIII,3,,ENSG00000185010,(build: 38)X:154835788-155026940,P00451,,300841,175|412|545,Bleeding and platelet disorders|Gene therapy clinical trials|Inherited bleeding disorders,Actionable information|Haematological and immunological disorders|NA,Clinical trials|Haemostasis disorders|NA,NA|X-Linked,3|4,2351,0.999999812,1.88E-07,1.81E-18,0.591663122
ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,2,,ENSG00000174437,(build: 38)12:110280756-110351093,P16615,,108740,285|412,Gene therapy clinical trials|Intellectual disability,Actionable information|Neurology and neurodevelopmental disorders,Clinical trials|Neurodevelopmental disorders,Monoallelic|NA,1|4,1042,0.998230939,0.001769061,7.13E-11,0
SUFU,SUFU negative regulator of hedgehog signaling,13,,ENSG00000107882,(build: 38)10:102503987-102633535,Q9UMX1,,607035,150|167|179|201|245|259|391|470|478|484|558|78,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|DDG2P|Familial Tumours Syndromes of the central & peripheral Nervous system|Fetal anomalies|Genodermatoses with malignancies|Holoprosencephaly|Hydrocephalus|Multiple monogenic benign skin tumours|Rare multisystem ciliopathy disorders|Tumour predisposition - adult onset,Cancer Programme|Ciliopathies|NA|Neurology and neurodevelopmental disorders|Tumour syndromes,Congenital malformations caused by ciliopathies|Muscle and nerve|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Skin|Tumour syndromes,Biallelic|Monoallelic,0|2|3|4,484,0.999161485,0.000838509,6.89E-09,0.997933884
AKT1,AKT serine/threonine kinase 1,9,,ENSG00000142208,(build: 38)14:104769349-104795751,P31749,,164730,201|243|285|309|402|478|484|564|98,DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Genodermatoses with malignancies|Intellectual disability|Mosaic skin disorders - deep sequencing|Segmental overgrowth disorders|Skeletal dysplasia|Tumour predisposition - childhood onset,NA|Neurology and neurodevelopmental disorders|Skeletal disorders|Tumour syndromes,Childhood Tumours|Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Skeletal dysplasias|Skin,Monoallelic|NA|Unknown,1|2|3|4,480,0.980206587,0.019792772,6.41E-07,0.997916667
PTCH2,patched 2,3,,ENSG00000117425,(build: 38)1:44819844-44843063,Q9Y6C5,watchlist,603673,179|201|558,Genodermatoses with malignancies|Hydrocephalus|Multiple monogenic benign skin tumours,NA|Tumour syndromes,NA|Skin,Monoallelic|NA,0|2,1203,6.11E-10,0.956738168,0.043261832,0
KLLN,"killin, p53-regulated DNA replication inhibitor",1,,ENSG00000227268,(build: 38)10:87859161-87863437,B2CW77,,612105,201,Genodermatoses with malignancies,Tumour syndromes,Skin,NA,1,178,-1,-1,-1,0
APOA5,apolipoprotein A5,13,,ENSG00000110243,(build: 38)11:116789367-116792420,Q6Q788,,606368,228|467|469|471|6,Cardiomyopathies - including childhood onset|Familial hypercholesterolaemia|Inborn errors of metabolism|Molecular autopsy|Severe hypertriglyceridaemia,Cardiovascular disorders|NA,Arteriopathies|NA,Both|Monoallelic,1|3|4,366,1.38E-06,0.218565344,0.781433278,0
LPL,lipoprotein lipase,5,,ENSG00000175445,(build: 38)8:19901717-19967258,P06858,,609708,228|293|469|471|6,Cardiomyopathies - including childhood onset|Diabetes - neonatal onset|Familial hypercholesterolaemia|Molecular autopsy|Severe hypertriglyceridaemia,Cardiovascular disorders|Endocrine disorders|NA,Arteriopathies|Disorders of unusual phenotypes|NA,Biallelic|Both|NA,1|3|4,475,3.34E-06,0.792834694,0.207161969,0.941052632
GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1,2,,ENSG00000277494,(build: 38)8:143213193-143217170,Q8IV16,,612757,228|6,Familial hypercholesterolaemia|Severe hypertriglyceridaemia,Cardiovascular disorders,Arteriopathies,Biallelic|NA,1|3,184,0.023780963,0.772772147,0.20344689,0.706521739
GPD1,glycerol-3-phosphate dehydrogenase 1,5,,ENSG00000167588,(build: 38)12:50103819-50111319,P21695,,138420,228|302|469|471|6,Cardiomyopathies - including childhood onset|Familial hypercholesterolaemia|Molecular autopsy|Severe hypertriglyceridaemia|Undiagnosed metabolic disorders,Cardiovascular disorders|Metabolic disorders|NA,Arteriopathies|NA|Specific metabolic abnormalities,Biallelic|NA,1|3|4,349,0.147319093,0.834779708,0.017901198,0.99713467
LMF1,lipase maturation factor 1,2,,ENSG00000103227,(build: 38)16:853634-981318,Q96S06,,611761,228|6,Familial hypercholesterolaemia|Severe hypertriglyceridaemia,Cardiovascular disorders,Arteriopathies,Biallelic|NA,1,567,1.15E-14,0.005665005,0.994334995,0
CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,2,,ENSG00000143126,(build: 38)1:109250019-109275750,Q9HCU4,,604265,228|6,Familial hypercholesterolaemia|Severe hypertriglyceridaemia,Cardiovascular disorders,Arteriopathies,Monoallelic|NA,1,2923,0.9999992,8.00E-07,3.48E-23,0
PTPN14,"protein tyrosine phosphatase, non-receptor type 14",4,,ENSG00000152104,(build: 38)1:214348696-214552449,Q15678,,603155,221|478|484|65,Choanal atresia|DDG2P|Fetal anomalies|Primary lymphoedema,Cardiovascular disorders|NA|Skeletal disorders,Choanal anomalies|Lymphatic Disorders|NA,Biallelic,1|2|4,1187,0.991959026,0.008040974,2.38E-11,0.253580455
FAM20C,"FAM20C, golgi associated secretory pathway kinase",10,,ENSG00000177706,(build: 38)7:192969-260745,Q8IXL6,,611061,168|179|196|221|269|285|309|478|482|484,Amelogenesis imperfecta|Choanal atresia|Craniosynostosis|DDG2P|Fetal anomalies|Hydrocephalus|Hypophosphataemia or rickets|Intellectual disability|Osteogenesis imperfecta|Skeletal dysplasia,NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Choanal anomalies|Craniosynostosis syndromes|NA|Neurodevelopmental disorders|Skeletal dysplasias,Biallelic|NA,0|1|3|4,584,0.587993382,0.370943116,0.041063501,0.748287671
SEMA3E,semaphorin 3E,5,,ENSG00000170381,(build: 38)7:83363906-83649010,O15041,,608166,221|398|9|92,Choanal atresia|Disorders of sex development|Hypogonadotropic hypogonadism|Primary immunodeficiency,Endocrine disorders|NA|Skeletal disorders,Choanal anomalies|Gonadal and sex development disorders|Hypothalamic and pituitary disorders|NA,Monoallelic,1,775,0.030447872,0.969535112,1.70E-05,0
CHD7,chromodomain helicase DNA binding protein 7,17,,ENSG00000171316,(build: 38)8:60678778-60868028,Q9P2D1,,608892,101|126|131|156|221|234|251|285|294|473|478|483|484|493|81|92,CAKUT|Choanal atresia|Clefting|DDG2P|Deafness and congenital structural abnormalities|End-stage renal disease - childhood onset|Fetal anomalies|Growth failure in early childhood|Hearing loss|Hypogonadotropic hypogonadism|IUGR and IGF abnormalities|Intellectual disability|Ocular coloboma|Pituitary hormone deficiency|Renal and urinary tract disorders|VACTERL-like phenotypes,Dysmorphic and congenital abnormality syndromes|Endocrine disorders|Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Renal and urinary tract disorders|Skeletal disorders,Choanal anomalies|Deafness and congenital structural abnormalities|Disorders of function|Dysmorphic disorders|Growth hormone disorders|Hypothalamic and pituitary disorders|Limb disorders|NA|Neurodevelopmental disorders|Non-syndromic hearing loss|Ocular malformations|Structural renal and urinary tract disease,Monoallelic,3|4,2997,1,2.49E-13,1.75E-33,0.048381715
EFTUD2,elongation factor Tu GTP binding domain containing 2,10,,ENSG00000108883,(build: 38)17:44849943-44899662,Q15029,,603892,101|162|221|251|285|309|384|402|478|484,Choanal atresia|DDG2P|Deafness and congenital structural abnormalities|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|Limb disorders|Severe microcephaly|Skeletal dysplasia|VACTERL-like phenotypes,Dysmorphic and congenital abnormality syndromes|Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Choanal anomalies|DNA repair disorders|Deafness and congenital structural abnormalities|Inherited Epilepsy Syndromes|Limb disorders|NA|Neurodevelopmental disorders|Skeletal dysplasias,Monoallelic,3|4,972,0.999991435,8.56E-06,1.97E-14,0.998971193
USP9X,"ubiquitin specific peptidase 9, X-linked",7,,ENSG00000124486,(build: 38)X:41085635-41236579,Q93008,,300072,179|221|285|309|478|484|81,Choanal atresia|Clefting|DDG2P|Fetal anomalies|Hydrocephalus|Intellectual disability|Skeletal dysplasia,Dysmorphic and congenital abnormality syndromes|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Choanal anomalies|Dysmorphic disorders|NA|Neurodevelopmental disorders|Skeletal dysplasias,NA|X-Linked,1|2|3|4,2570,1,2.36E-11,2.78E-27,0.198054475
TXNL4A,thioredoxin like 4A,7,,ENSG00000141759,(build: 38)18:79970811-80033949,P83876,,611595,221|285|478|484|81,Choanal atresia|Clefting|DDG2P|Fetal anomalies|Intellectual disability,Dysmorphic and congenital abnormality syndromes|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Choanal anomalies|Dysmorphic disorders|NA|Neurodevelopmental disorders,Biallelic,2|3|4,142,0.001546737,0.447637327,0.550815937,0.992957746
SPINT2,"serine peptidase inhibitor, Kunitz type 2",6,,ENSG00000167642,(build: 38)19:38244035-38292614,O43291,,605124,221|294|509|514,Choanal atresia|Intestinal failure|Ocular coloboma|Structural eye disease,NA|Ophthalmological disorders|Skeletal disorders,Choanal anomalies|NA|Ocular malformations,Biallelic,1|3|4,252,0.029618615,0.923963469,0.046417916,0.214285714
